date,country,D,H,I,M,S
2021-04-01,Afghanistan,0,37,0,0,0
2021-04-01,Sweden,0,9,0,0,0
2021-04-01,Japan,0,121,0,0,0
2021-04-02,Afghanistan,0,32,5,0,0
2021-04-02,Sweden,0,7,2,0,0
2021-04-02,Japan,0,84,37,0,0
2021-04-03,Afghanistan,0,25,12,0,0
2021-04-03,Sweden,0,5,4,0,0
2021-04-03,Japan,0,65,56,0,0
2021-04-04,Afghanistan,0,22,15,0,0
2021-04-04,Sweden,0,3,6,0,0
2021-04-04,Japan,0,50,71,0,0
2021-04-05,Afghanistan,0,16,21,0,0
2021-04-05,Sweden,0,1,8,0,0
2021-04-05,Japan,0,42,79,0,0
2021-04-06,Afghanistan,0,12,20,4,1
2021-04-06,Sweden,0,1,6,1,1
2021-04-06,Japan,0,31,53,20,17
2021-04-07,Afghanistan,0,11,14,8,4
2021-04-07,Sweden,0,1,4,2,2
2021-04-07,Japan,0,22,43,30,26
2021-04-08,Afghanistan,0,11,11,10,5
2021-04-08,Sweden,0,1,2,4,2
2021-04-08,Japan,0,17,33,40,31
2021-04-09,Afghanistan,0,10,6,12,9
2021-04-09,Sweden,0,1,0,5,3
2021-04-09,Japan,0,13,29,42,37
2021-04-10,Afghanistan,0,6,6,12,13
2021-04-10,Sweden,0,1,0,5,3
2021-04-10,Japan,0,11,20,47,43
2021-04-11,Afghanistan,0,5,6,12,14
2021-04-11,Sweden,0,1,0,5,3
2021-04-11,Japan,0,9,13,51,48
2021-04-12,Afghanistan,0,5,6,12,14
2021-04-12,Sweden,0,0,1,5,3
2021-04-12,Japan,0,8,9,54,50
2021-04-13,Afghanistan,0,5,5,12,15
2021-04-13,Sweden,0,0,1,5,3
2021-04-13,Japan,0,6,7,54,54
2021-04-14,Afghanistan,0,4,2,14,17
2021-04-14,Sweden,0,0,1,5,3
2021-04-14,Japan,0,5,6,54,56
2021-04-15,Afghanistan,0,4,1,14,18
2021-04-15,Sweden,0,0,1,5,3
2021-04-15,Japan,0,3,6,55,57
2021-04-16,Afghanistan,0,3,2,14,18
2021-04-16,Sweden,0,0,0,5,4
2021-04-16,Japan,0,3,5,56,57
2021-04-17,Afghanistan,0,3,2,14,18
2021-04-17,Sweden,0,0,0,5,4
2021-04-17,Japan,0,3,3,58,57
2021-04-18,Afghanistan,0,3,1,14,19
2021-04-18,Sweden,0,0,0,5,4
2021-04-18,Japan,0,3,2,58,58
2021-04-19,Afghanistan,0,3,1,14,19
2021-04-19,Sweden,0,0,0,5,4
2021-04-19,Japan,0,3,0,59,59
2021-04-20,Afghanistan,0,3,0,15,19
2021-04-20,Sweden,0,0,0,6,3
2021-04-20,Japan,1,2,1,75,42
2021-04-21,Afghanistan,0,3,0,18,16
2021-04-21,Sweden,0,0,0,7,2
2021-04-21,Japan,2,2,1,83,33
2021-04-22,Afghanistan,0,3,0,19,15
2021-04-22,Sweden,0,0,0,7,2
2021-04-22,Japan,3,2,1,87,28
2021-04-23,Afghanistan,1,3,0,22,11
2021-04-23,Sweden,0,0,0,8,1
2021-04-23,Japan,5,2,1,91,22
2021-04-24,Afghanistan,1,2,1,26,7
2021-04-24,Sweden,0,0,0,8,1
2021-04-24,Japan,7,2,0,95,17
2021-04-25,Afghanistan,1,2,1,27,6
2021-04-25,Sweden,0,0,0,8,1
2021-04-25,Japan,7,2,0,100,12
2021-04-26,Afghanistan,1,2,1,27,6
2021-04-26,Sweden,0,0,0,8,1
2021-04-26,Japan,7,2,0,102,10
2021-04-27,Afghanistan,1,1,2,28,5
2021-04-27,Sweden,0,0,0,8,1
2021-04-27,Japan,7,2,0,106,6
2021-04-28,Afghanistan,1,1,1,31,3
2021-04-28,Sweden,0,0,0,8,1
2021-04-28,Japan,7,2,0,108,4
2021-04-29,Afghanistan,1,1,1,32,2
2021-04-29,Sweden,0,0,0,8,1
2021-04-29,Japan,8,2,0,108,3
2021-04-30,Afghanistan,1,1,1,32,2
2021-04-30,Sweden,0,0,0,9,0
2021-04-30,Japan,8,2,0,108,3
2021-05-01,Afghanistan,1,1,0,32,3
2021-05-01,Sweden,0,0,0,9,0
2021-05-01,Japan,8,1,1,108,3
2021-05-02,Afghanistan,1,1,0,33,2
2021-05-02,Sweden,0,0,0,9,0
2021-05-02,Japan,8,1,1,109,2
2021-05-03,Afghanistan,1,0,1,33,2
2021-05-03,Sweden,0,0,0,9,0
2021-05-03,Japan,8,1,1,110,1
2021-05-04,Afghanistan,1,0,1,34,1
2021-05-04,Sweden,0,0,0,9,0
2021-05-04,Japan,8,1,1,110,1
2021-05-05,Afghanistan,1,0,1,34,1
2021-05-05,Sweden,0,0,0,9,0
2021-05-05,Japan,8,1,0,111,1
2021-05-06,Afghanistan,1,0,1,34,1
2021-05-06,Sweden,0,0,0,9,0
2021-05-06,Japan,8,0,1,111,1
2021-05-07,Afghanistan,1,0,0,35,1
2021-05-07,Sweden,0,0,0,9,0
2021-05-07,Japan,8,0,1,111,1
2021-05-08,Afghanistan,1,0,0,35,1
2021-05-08,Sweden,0,0,0,9,0
